recorder Number of active agents
Timestamp: 21 de jan de 2021 19:58:24
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total active agents","red active agents","yellow active agents","blue active agents"
399.0,100.0,10.0,40.0,50.0
400.0,100.0,10.0,40.0,50.0
401.0,100.0,10.0,40.0,50.0
402.0,100.0,10.0,40.0,50.0
403.0,100.0,10.0,40.0,50.0
404.0,100.0,10.0,40.0,50.0
405.0,100.0,10.0,40.0,50.0
406.0,100.0,10.0,40.0,50.0
407.0,100.0,10.0,40.0,50.0
408.0,100.0,10.0,40.0,50.0
409.0,100.0,10.0,40.0,50.0
410.0,100.0,10.0,40.0,50.0
411.0,100.0,10.0,40.0,50.0
412.0,100.0,10.0,40.0,50.0
413.0,100.0,10.0,40.0,50.0
414.0,100.0,10.0,40.0,50.0
415.0,100.0,10.0,40.0,50.0
416.0,100.0,10.0,40.0,50.0
417.0,100.0,10.0,40.0,50.0
418.0,100.0,10.0,40.0,50.0
419.0,100.0,10.0,40.0,50.0
420.0,100.0,10.0,40.0,50.0
421.0,100.0,10.0,40.0,50.0
422.0,100.0,10.0,40.0,50.0
423.0,100.0,10.0,40.0,50.0
424.0,100.0,10.0,40.0,50.0
425.0,100.0,10.0,40.0,50.0
426.0,100.0,10.0,40.0,50.0
427.0,100.0,10.0,40.0,50.0
428.0,100.0,10.0,40.0,50.0
429.0,100.0,10.0,40.0,50.0
430.0,100.0,10.0,40.0,50.0
431.0,100.0,10.0,40.0,50.0
432.0,100.0,10.0,40.0,50.0
433.0,100.0,10.0,40.0,50.0
434.0,100.0,10.0,40.0,50.0
435.0,100.0,10.0,40.0,50.0
436.0,100.0,10.0,40.0,50.0
437.0,100.0,10.0,40.0,50.0
438.0,100.0,10.0,40.0,50.0
439.0,100.0,10.0,40.0,50.0
440.0,100.0,10.0,40.0,50.0
441.0,100.0,10.0,40.0,50.0
442.0,100.0,10.0,40.0,50.0
443.0,100.0,10.0,40.0,50.0
444.0,100.0,10.0,40.0,50.0
445.0,100.0,10.0,40.0,50.0
446.0,100.0,10.0,40.0,50.0
447.0,100.0,10.0,40.0,50.0
448.0,100.0,10.0,40.0,50.0
449.0,100.0,10.0,40.0,50.0
450.0,100.0,10.0,40.0,50.0
451.0,100.0,10.0,40.0,50.0
452.0,100.0,10.0,40.0,50.0
453.0,100.0,10.0,40.0,50.0
454.0,100.0,10.0,40.0,50.0
455.0,100.0,10.0,40.0,50.0
456.0,100.0,10.0,40.0,50.0
457.0,100.0,10.0,40.0,50.0
458.0,100.0,10.0,40.0,50.0
459.0,100.0,10.0,40.0,50.0
460.0,100.0,10.0,40.0,50.0
461.0,100.0,10.0,40.0,50.0
462.0,100.0,10.0,40.0,50.0
463.0,100.0,10.0,40.0,50.0
464.0,100.0,10.0,40.0,50.0
465.0,100.0,10.0,40.0,50.0
466.0,100.0,10.0,40.0,50.0
467.0,100.0,10.0,40.0,50.0
468.0,100.0,10.0,40.0,50.0
469.0,100.0,10.0,40.0,50.0
470.0,100.0,10.0,40.0,50.0
471.0,100.0,10.0,40.0,50.0
472.0,100.0,10.0,40.0,50.0
473.0,100.0,10.0,40.0,50.0
474.0,100.0,10.0,40.0,50.0
475.0,100.0,10.0,40.0,50.0
476.0,100.0,10.0,40.0,50.0
477.0,100.0,10.0,40.0,50.0
478.0,100.0,10.0,40.0,50.0
479.0,100.0,10.0,40.0,50.0
480.0,100.0,10.0,40.0,50.0
