recorder Number of inactive agents
Timestamp: 21 de jan de 2021 19:58:25
ConsLimit: 4
ConsolidationLimit: 500
Consolidationrandom: 50
D: 4
DecayStartPoint: 1000
Decayrandom: 40
FindspaceSteps: 2
FindspaceSteps2: 2
FindspaceSteps3: 2
Log: 0
NumAgents: 100
PercentageBlue: 50
PercentageYellow: 40
Percentagered: 10
Pred: 7
Predrandom: 25
SpaceSize: 51


"tick","total inactive agents","red inactive agents","yellow inactive agents","blue inactive agents","cyan inactive agents","green inactive agents"
201.0,55.0,1.0,3.0,11.0,40.0,0.0
202.0,56.0,1.0,3.0,12.0,40.0,0.0
203.0,56.0,1.0,3.0,12.0,40.0,0.0
204.0,56.0,1.0,3.0,12.0,40.0,0.0
205.0,56.0,1.0,3.0,12.0,40.0,0.0
206.0,56.0,1.0,3.0,12.0,40.0,0.0
207.0,56.0,1.0,3.0,12.0,40.0,0.0
208.0,56.0,1.0,3.0,12.0,40.0,0.0
209.0,56.0,1.0,3.0,12.0,40.0,0.0
210.0,56.0,1.0,3.0,12.0,40.0,0.0
211.0,56.0,1.0,3.0,12.0,40.0,0.0
212.0,56.0,1.0,3.0,12.0,40.0,0.0
213.0,56.0,1.0,3.0,12.0,40.0,0.0
214.0,56.0,1.0,3.0,12.0,40.0,0.0
215.0,56.0,1.0,3.0,12.0,40.0,0.0
216.0,56.0,1.0,3.0,12.0,40.0,0.0
217.0,56.0,1.0,3.0,12.0,40.0,0.0
218.0,56.0,1.0,3.0,12.0,40.0,0.0
219.0,56.0,1.0,3.0,12.0,40.0,0.0
220.0,56.0,1.0,3.0,12.0,40.0,0.0
221.0,57.0,1.0,3.0,13.0,40.0,0.0
222.0,57.0,1.0,3.0,13.0,40.0,0.0
223.0,57.0,1.0,3.0,13.0,40.0,0.0
224.0,57.0,1.0,3.0,13.0,40.0,0.0
225.0,57.0,1.0,3.0,13.0,40.0,0.0
226.0,57.0,1.0,3.0,13.0,40.0,0.0
227.0,57.0,1.0,3.0,13.0,40.0,0.0
228.0,57.0,1.0,3.0,13.0,40.0,0.0
229.0,57.0,1.0,3.0,13.0,40.0,0.0
230.0,57.0,1.0,3.0,13.0,40.0,0.0
231.0,57.0,1.0,3.0,13.0,40.0,0.0
232.0,57.0,1.0,3.0,13.0,40.0,0.0
233.0,57.0,1.0,3.0,13.0,40.0,0.0
234.0,57.0,1.0,3.0,13.0,40.0,0.0
235.0,57.0,1.0,3.0,13.0,40.0,0.0
236.0,57.0,1.0,3.0,13.0,40.0,0.0
237.0,57.0,1.0,3.0,13.0,40.0,0.0
238.0,57.0,1.0,3.0,13.0,40.0,0.0
239.0,57.0,1.0,3.0,13.0,40.0,0.0
240.0,57.0,1.0,3.0,13.0,40.0,0.0
241.0,57.0,1.0,3.0,13.0,40.0,0.0
242.0,57.0,1.0,3.0,13.0,40.0,0.0
243.0,57.0,1.0,3.0,13.0,40.0,0.0
244.0,57.0,1.0,3.0,13.0,40.0,0.0
245.0,57.0,1.0,3.0,13.0,40.0,0.0
246.0,57.0,1.0,3.0,13.0,40.0,0.0
247.0,57.0,1.0,3.0,13.0,40.0,0.0
248.0,57.0,1.0,3.0,13.0,40.0,0.0
249.0,57.0,1.0,3.0,13.0,40.0,0.0
250.0,57.0,1.0,3.0,13.0,40.0,0.0
251.0,57.0,1.0,3.0,13.0,40.0,0.0
252.0,57.0,1.0,3.0,13.0,40.0,0.0
253.0,57.0,1.0,3.0,13.0,40.0,0.0
254.0,57.0,1.0,3.0,13.0,40.0,0.0
255.0,57.0,1.0,3.0,13.0,40.0,0.0
256.0,57.0,1.0,3.0,13.0,40.0,0.0
257.0,57.0,1.0,3.0,13.0,40.0,0.0
258.0,57.0,1.0,3.0,13.0,40.0,0.0
259.0,57.0,1.0,3.0,13.0,40.0,0.0
260.0,57.0,1.0,3.0,13.0,40.0,0.0
261.0,57.0,1.0,3.0,13.0,40.0,0.0
262.0,57.0,1.0,3.0,13.0,40.0,0.0
263.0,57.0,1.0,3.0,13.0,40.0,0.0
264.0,57.0,1.0,3.0,13.0,40.0,0.0
265.0,57.0,1.0,3.0,13.0,40.0,0.0
266.0,57.0,1.0,3.0,13.0,40.0,0.0
267.0,57.0,1.0,3.0,13.0,40.0,0.0
268.0,57.0,1.0,3.0,13.0,40.0,0.0
269.0,57.0,1.0,3.0,13.0,40.0,0.0
270.0,57.0,1.0,3.0,13.0,40.0,0.0
271.0,57.0,1.0,3.0,13.0,40.0,0.0
272.0,57.0,1.0,3.0,13.0,40.0,0.0
273.0,57.0,1.0,3.0,13.0,40.0,0.0
274.0,57.0,1.0,3.0,13.0,40.0,0.0
275.0,57.0,1.0,3.0,13.0,40.0,0.0
276.0,57.0,1.0,3.0,13.0,40.0,0.0
277.0,57.0,1.0,3.0,13.0,40.0,0.0
278.0,57.0,1.0,3.0,13.0,40.0,0.0
279.0,58.0,1.0,3.0,14.0,40.0,0.0
280.0,58.0,1.0,3.0,14.0,40.0,0.0
281.0,58.0,1.0,3.0,14.0,40.0,0.0
282.0,58.0,1.0,3.0,14.0,40.0,0.0
283.0,58.0,1.0,3.0,14.0,40.0,0.0
284.0,58.0,1.0,3.0,14.0,40.0,0.0
285.0,58.0,1.0,3.0,14.0,40.0,0.0
286.0,58.0,1.0,3.0,14.0,40.0,0.0
287.0,58.0,1.0,3.0,14.0,40.0,0.0
288.0,58.0,1.0,3.0,14.0,40.0,0.0
289.0,58.0,1.0,3.0,14.0,40.0,0.0
290.0,58.0,1.0,3.0,14.0,40.0,0.0
291.0,58.0,1.0,3.0,14.0,40.0,0.0
292.0,58.0,1.0,3.0,14.0,40.0,0.0
293.0,58.0,1.0,3.0,14.0,40.0,0.0
294.0,58.0,1.0,3.0,14.0,40.0,0.0
295.0,58.0,1.0,3.0,14.0,40.0,0.0
296.0,58.0,1.0,3.0,14.0,40.0,0.0
297.0,58.0,1.0,3.0,14.0,40.0,0.0
298.0,58.0,1.0,3.0,14.0,40.0,0.0
299.0,58.0,1.0,3.0,14.0,40.0,0.0
300.0,58.0,1.0,3.0,14.0,40.0,0.0
301.0,58.0,1.0,3.0,14.0,40.0,0.0
302.0,58.0,1.0,3.0,14.0,40.0,0.0
303.0,58.0,1.0,3.0,14.0,40.0,0.0
304.0,58.0,1.0,3.0,14.0,40.0,0.0
305.0,58.0,1.0,3.0,14.0,40.0,0.0
306.0,58.0,1.0,3.0,14.0,40.0,0.0
307.0,58.0,1.0,3.0,14.0,40.0,0.0
308.0,58.0,1.0,3.0,14.0,40.0,0.0
309.0,58.0,1.0,3.0,14.0,40.0,0.0
310.0,58.0,1.0,3.0,14.0,40.0,0.0
311.0,58.0,1.0,3.0,14.0,40.0,0.0
312.0,58.0,1.0,3.0,14.0,40.0,0.0
313.0,58.0,1.0,3.0,14.0,40.0,0.0
314.0,58.0,1.0,3.0,14.0,40.0,0.0
315.0,58.0,1.0,3.0,14.0,40.0,0.0
316.0,58.0,1.0,3.0,14.0,40.0,0.0
317.0,58.0,1.0,3.0,14.0,40.0,0.0
318.0,58.0,1.0,3.0,14.0,40.0,0.0
319.0,58.0,1.0,3.0,14.0,40.0,0.0
320.0,59.0,1.0,3.0,15.0,40.0,0.0
321.0,59.0,1.0,3.0,15.0,40.0,0.0
322.0,59.0,1.0,3.0,15.0,40.0,0.0
323.0,59.0,1.0,3.0,15.0,40.0,0.0
324.0,59.0,1.0,3.0,15.0,40.0,0.0
325.0,59.0,1.0,3.0,15.0,40.0,0.0
326.0,59.0,1.0,3.0,15.0,40.0,0.0
327.0,59.0,1.0,3.0,15.0,40.0,0.0
328.0,59.0,1.0,3.0,15.0,40.0,0.0
329.0,59.0,1.0,3.0,15.0,40.0,0.0
330.0,59.0,1.0,3.0,15.0,40.0,0.0
331.0,59.0,1.0,3.0,15.0,40.0,0.0
332.0,59.0,1.0,3.0,15.0,40.0,0.0
333.0,59.0,1.0,3.0,15.0,40.0,0.0
334.0,59.0,1.0,3.0,15.0,40.0,0.0
335.0,59.0,1.0,3.0,15.0,40.0,0.0
336.0,59.0,1.0,3.0,15.0,40.0,0.0
337.0,59.0,1.0,3.0,15.0,40.0,0.0
